Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
EPL_2008,16/08/08,0,38,1.0,0.0,0.0,24.0,5.0,14.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0
EPL_2008,16/08/08,5,33,3.0,1.0,0.0,14.0,8.0,8.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0
EPL_2008,16/08/08,13,3,2.0,3.0,2.0,10.0,15.0,5.0,11.0,3.0,5.0,2.0,2.0,0.0,0.0
EPL_2008,16/08/08,16,14,2.0,1.0,0.0,11.0,12.0,6.0,6.0,5.0,6.0,3.0,0.0,0.0,0.0
EPL_2008,16/08/08,24,36,2.0,1.0,0.0,14.0,8.0,10.0,5.0,7.0,9.0,1.0,2.0,0.0,0.0
EPL_2008,16/08/08,34,20,0.0,1.0,2.0,6.0,14.0,3.0,8.0,1.0,8.0,0.0,2.0,0.0,0.0
EPL_2008,16/08/08,39,40,2.0,1.0,0.0,15.0,22.0,8.0,9.0,6.0,10.0,2.0,1.0,0.0,0.0
EPL_2008,17/08/08,1,22,4.0,2.0,0.0,14.0,13.0,10.0,8.0,7.0,8.0,0.0,1.0,0.0,0.0
EPL_2008,17/08/08,11,28,4.0,0.0,0.0,18.0,12.0,11.0,8.0,8.0,3.0,0.0,1.0,0.0,0.0
EPL_2008,17/08/08,23,25,1.0,1.0,1.0,18.0,11.0,12.0,4.0,6.0,6.0,3.0,0.0,0.0,0.0
EPL_2008,23/08/08,3,16,1.0,1.0,1.0,12.0,7.0,5.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0
EPL_2008,23/08/08,14,0,1.0,0.0,0.0,5.0,15.0,2.0,6.0,1.0,5.0,2.0,0.0,0.0,0.0
EPL_2008,23/08/08,20,24,2.0,1.0,0.0,16.0,9.0,8.0,4.0,14.0,3.0,2.0,1.0,0.0,0.0
EPL_2008,23/08/08,25,5,1.0,0.0,0.0,10.0,9.0,8.0,4.0,4.0,6.0,1.0,2.0,0.0,0.0
EPL_2008,23/08/08,33,1,3.0,2.0,0.0,8.0,5.0,2.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0
EPL_2008,23/08/08,36,34,1.0,2.0,2.0,18.0,12.0,11.0,7.0,12.0,6.0,1.0,2.0,0.0,0.0
EPL_2008,23/08/08,38,13,1.0,2.0,2.0,14.0,9.0,4.0,7.0,11.0,5.0,3.0,1.0,0.0,0.0
EPL_2008,24/08/08,22,39,3.0,0.0,0.0,14.0,3.0,9.0,0.0,6.0,3.0,0.0,2.0,0.0,1.0
EPL_2008,24/08/08,40,11,0.0,1.0,2.0,10.0,7.0,6.0,3.0,7.0,7.0,1.0,2.0,0.0,0.0
EPL_2008,25/08/08,28,23,0.0,1.0,2.0,13.0,12.0,6.0,7.0,4.0,3.0,2.0,2.0,0.0,0.0
EPL_2008,30/08/08,0,25,3.0,0.0,0.0,20.0,4.0,14.0,2.0,12.0,1.0,2.0,2.0,0.0,0.0
EPL_2008,30/08/08,5,38,0.0,0.0,1.0,18.0,12.0,9.0,7.0,7.0,5.0,2.0,2.0,0.0,0.0
EPL_2008,30/08/08,13,28,0.0,3.0,2.0,16.0,6.0,7.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0
EPL_2008,30/08/08,16,40,0.0,5.0,2.0,10.0,8.0,5.0,5.0,7.0,3.0,1.0,0.0,0.0,0.0
EPL_2008,30/08/08,24,33,2.0,1.0,0.0,21.0,7.0,12.0,2.0,4.0,5.0,2.0,4.0,0.0,1.0
EPL_2008,30/08/08,39,3,4.0,1.0,0.0,11.0,12.0,6.0,7.0,10.0,4.0,1.0,5.0,0.0,0.0
EPL_2008,31/08/08,1,20,0.0,0.0,1.0,5.0,8.0,2.0,3.0,5.0,8.0,0.0,2.0,0.0,0.0
EPL_2008,31/08/08,11,36,1.0,1.0,1.0,12.0,6.0,3.0,6.0,5.0,8.0,3.0,0.0,0.0,0.0
EPL_2008,31/08/08,34,22,0.0,3.0,2.0,10.0,9.0,4.0,8.0,3.0,3.0,4.0,2.0,0.0,0.0
EPL_2008,13/09/08,3,0,0.0,4.0,2.0,10.0,17.0,3.0,10.0,5.0,5.0,1.0,1.0,0.0,0.0
EPL_2008,13/09/08,14,5,2.0,1.0,0.0,20.0,8.0,13.0,7.0,12.0,6.0,1.0,1.0,0.0,0.0
EPL_2008,13/09/08,20,23,2.0,1.0,0.0,16.0,7.0,11.0,3.0,5.0,4.0,0.0,3.0,0.0,1.0
EPL_2008,13/09/08,22,11,1.0,3.0,2.0,13.0,18.0,7.0,8.0,8.0,5.0,0.0,1.0,0.0,1.0
EPL_2008,13/09/08,25,16,1.0,2.0,2.0,13.0,8.0,4.0,4.0,5.0,3.0,0.0,2.0,1.0,0.0
EPL_2008,13/09/08,28,24,2.0,1.0,0.0,21.0,7.0,12.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0
EPL_2008,13/09/08,38,39,3.0,2.0,0.0,13.0,21.0,8.0,13.0,8.0,8.0,1.0,1.0,0.0,0.0
EPL_2008,13/09/08,40,34,1.0,1.0,1.0,12.0,6.0,8.0,5.0,8.0,6.0,1.0,1.0,1.0,0.0
EPL_2008,14/09/08,33,13,2.0,3.0,2.0,12.0,8.0,7.0,5.0,7.0,8.0,2.0,1.0,0.0,0.0
EPL_2008,15/09/08,36,1,1.0,2.0,2.0,17.0,17.0,10.0,13.0,12.0,8.0,1.0,4.0,0.0,0.0
EPL_2008,20/09/08,3,14,1.0,0.0,0.0,11.0,11.0,4.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0
EPL_2008,20/09/08,5,0,1.0,3.0,2.0,12.0,20.0,8.0,9.0,7.0,17.0,2.0,2.0,0.0,0.0
EPL_2008,20/09/08,20,33,0.0,0.0,1.0,27.0,3.0,11.0,2.0,20.0,3.0,1.0,1.0,0.0,0.0
EPL_2008,20/09/08,34,24,2.0,0.0,0.0,17.0,14.0,11.0,11.0,8.0,7.0,2.0,3.0,0.0,0.0
EPL_2008,20/09/08,39,25,3.0,1.0,0.0,12.0,11.0,6.0,8.0,2.0,6.0,1.0,2.0,0.0,0.0
EPL_2008,21/09/08,11,23,1.0,1.0,1.0,20.0,13.0,13.0,8.0,7.0,4.0,1.0,7.0,0.0,0.0
EPL_2008,21/09/08,16,13,2.0,2.0,1.0,9.0,17.0,5.0,8.0,4.0,6.0,0.0,1.0,0.0,0.0
EPL_2008,21/09/08,22,28,6.0,0.0,0.0,14.0,10.0,10.0,4.0,8.0,5.0,0.0,1.0,0.0,0.0
EPL_2008,21/09/08,36,40,0.0,0.0,1.0,11.0,14.0,4.0,6.0,3.0,4.0,2.0,2.0,0.0,0.0
EPL_2008,21/09/08,38,1,1.0,2.0,2.0,10.0,10.0,6.0,5.0,5.0,6.0,3.0,3.0,0.0,0.0
EPL_2008,27/09/08,0,16,1.0,2.0,2.0,18.0,7.0,9.0,5.0,15.0,4.0,2.0,1.0,0.0,0.0
EPL_2008,27/09/08,1,34,2.0,1.0,0.0,12.0,9.0,8.0,3.0,5.0,5.0,1.0,1.0,0.0,0.0
EPL_2008,27/09/08,13,20,0.0,2.0,2.0,4.0,11.0,2.0,6.0,7.0,4.0,3.0,3.0,1.0,0.0
EPL_2008,27/09/08,14,39,1.0,2.0,2.0,18.0,16.0,6.0,10.0,2.0,4.0,4.0,1.0,1.0,0.0
EPL_2008,27/09/08,23,5,2.0,0.0,0.0,31.0,10.0,24.0,5.0,16.0,4.0,0.0,3.0,0.0,0.0
EPL_2008,27/09/08,24,38,0.0,1.0,2.0,22.0,14.0,13.0,9.0,11.0,8.0,2.0,4.0,0.0,0.0
EPL_2008,27/09/08,25,3,1.0,2.0,2.0,4.0,9.0,2.0,8.0,5.0,5.0,0.0,4.0,0.0,0.0
EPL_2008,27/09/08,33,11,0.0,2.0,2.0,5.0,14.0,2.0,9.0,5.0,5.0,2.0,1.0,0.0,0.0
EPL_2008,28/09/08,28,36,2.0,0.0,0.0,8.0,15.0,6.0,8.0,3.0,6.0,4.0,3.0,1.0,0.0
EPL_2008,28/09/08,40,22,2.0,1.0,0.0,9.0,11.0,4.0,6.0,5.0,3.0,3.0,4.0,0.0,0.0
EPL_2008,04/10/08,3,23,0.0,2.0,2.0,6.0,18.0,3.0,9.0,3.0,4.0,2.0,1.0,0.0,0.0
EPL_2008,04/10/08,34,0,1.0,1.0,1.0,8.0,13.0,5.0,7.0,1.0,7.0,3.0,5.0,0.0,0.0
